Date,EColi
2004-01-22,8700.0
2004-02-03,820.0
2004-02-04,1550.0
2004-02-11,1200.0
2004-02-13,1550.0
2004-02-27,9200.0
2004-03-05,4100.0
2004-03-09,12000.0
2004-03-15,1550.0
2004-03-22,
2004-04-01,720.0
2004-11-09,480.0
2004-11-15,960.0
2004-11-23,1800.0
2004-11-30,3100.0
2004-12-05,2100.0
2004-12-05,4100.0
2004-12-13,560.0
2004-12-20,740.0
2004-12-28,290.0
2005-01-04,24200.0
2005-01-10,24200.0
2005-01-13,420.0
2005-01-17,710.0
2005-01-25,710.0
2005-01-31,395.0
2005-02-01,650.0
2005-02-08,1000.0
2005-02-14,2200.0
2005-02-22,720.0
2005-03-02,210.0
2005-03-07,4900.0
2005-03-14,375.0
2005-03-21,590.0
2005-03-29,520.0
2005-04-04,960.0
2005-04-11,800.0
2005-04-19,1600.0
2005-04-26,860.0
2005-11-03,910.0
2005-11-09,660.0
2005-11-17,910.0
2005-11-22,
2005-12-01,530.0
2005-12-07,2000.0
2005-12-12,10500.0
2005-12-19,1400.0
2005-12-28,1000.0
2006-01-04,1600.0
2006-01-12,11200.0
2006-01-16,840.0
2006-01-26,5500.0
2006-01-31,910.0
2006-02-10,1600.0
2006-02-16,740.0
2006-02-24,510.0
2006-02-28,2850.0
2006-03-15,465.0
2006-03-24,2150.0
2006-03-28,1850.0
2006-04-06,790.0
2006-04-12,1200.0
2006-04-20,1100.0
2006-04-26,6900.0
2006-11-06,75.0
2006-11-13,840.0
2006-11-20,840.0
2006-11-30,9200.0
2006-12-04,1050.0
2006-12-11,440.0
2006-12-18,1250.0
2006-12-27,660.0
2007-01-03,1150.0
2007-01-08,180.0
2007-01-15,990.0
2007-01-23,700.0
2007-01-29,17300.0
2007-02-05,790.0
2007-02-12,1050.0
2007-02-19,640.0
2007-02-26,620.0
2007-03-05,640.0
2007-03-12,1450.0
2007-03-19,3150.0
2007-03-26,860.0
2007-04-02,6100.0
2007-04-11,590.0
2007-04-16,810.0
2007-04-23,670.0
2007-04-30,930.0
2007-11-05,4600.0
2007-11-13,365.0
2007-11-19,570.0
2007-11-26,590.0
2007-12-03,290.0
2007-12-10,305.0
2007-12-18,680.0
2007-12-27,430.0
2008-01-03,325.0
2008-01-07,390.0
2008-01-14,520.0
2008-01-22,140.0
2008-01-28,58.0
2008-02-04,210.0
2008-02-11,240.0
2008-02-18,250.0
2008-02-25,185.0
2008-03-03,395.0
2008-03-10,820.0
2008-03-17,2300.0
2008-03-25,440.0
2008-03-25,495.0
2008-03-31,650.0
2008-04-07,325.0
2008-04-14,385.0
2008-04-21,170.0
2008-04-28,290.0
2008-12-15,1553.0
2008-12-22,75.0
2008-12-29,341.0
2009-01-05,441.0
2009-01-12,867.0
2009-01-20,341.0
2009-01-27,889.0
2009-02-02,204.0
2009-02-09,213.0
2009-02-23,471.0
2009-03-02,1842.0
2009-03-09,1725.0
2009-03-23,464.0
2009-03-30,218.0
2009-04-06,410.0
2009-04-14,738.0
2009-04-20,201.0
2009-04-28,855.0
2009-12-06,1252.0
2009-12-13,2187.0
2009-12-20,987.0
2009-12-28,481.0
2010-01-05,496.0
2010-01-11,1112.0
2010-01-18,1450.0
2010-01-26,1211.0
2010-02-01,706.0
2010-02-08,292.0
2010-02-15,717.0
2010-02-22,1050.0
2010-03-01,4352.0
2010-03-08,201.0
2010-03-15,327.0
2010-03-22,404.0
2010-03-29,539.0
2010-04-06,620.0
2010-04-12,464.0
2010-04-19,560.0
2010-04-26,1658.0
2010-11-03,328.0
2010-11-10,238.0
2010-11-17,649.0
2010-11-24,613.0
2010-12-01,630.0
2010-12-08,520.0
2010-12-15,980.0
2010-12-22,1220.0
2010-12-29,2750.0
2011-01-05,200.0
2011-01-12,310.0
2011-01-19,100.0
2011-01-26,2330.0
2011-02-02,1970.0
2011-02-09,1220.0
2011-02-16,520.0
2011-02-23,980.0
2011-03-02,100.0
2011-03-09,970.0
2011-03-16,195.0
2011-03-23,1320.0
2011-03-30,310.0
2011-04-06,3270.0
2011-04-13,410.0
2011-04-19,1733.0
2011-04-27,2110.0
2011-11-02,5600.0
2011-11-09,390.0
2011-11-16,360.0
2011-11-23,460.0
2011-11-30,390.0
2011-12-07,2400.0
2011-12-14,5100.0
2011-12-21,370.0
2011-12-28,430.0
2012-01-04,880.0
2012-01-11,2100.0
2012-01-18,1700.0
2012-01-25,1200.0
2012-02-01,420.0
2012-02-08,2400.0
2012-02-15,1000.0
2012-02-22,540.0
2012-02-29,750.0
2012-03-07,160.0
2012-03-14,280.0
2012-03-21,1000.0
2012-03-28,1200.0
2012-04-03,400.0
2012-04-11,140.0
2012-04-18,410.0
2012-04-23,3100.0
2012-11-07,160.0
2012-11-14,830.0
2012-11-21,210.0
2012-11-28,210.0
2012-12-05,150.0
2012-12-12,290.0
2012-12-19,940.0
2012-12-27,2200.0
2013-01-03,2600.0
2013-01-09,260.0
2013-01-16,860.0
2013-01-23,460.0
2013-01-30,85.0
2013-02-07,1600.0
2013-02-13,710.0
2013-02-20,350.0
2013-02-27,250.0
2013-03-06,110.0
2013-03-13,240.0
2013-03-20,3300.0
2013-03-26,630.0
2013-04-03,460.0
2013-04-10,3100.0
2013-04-17,420.0
2013-04-23,640.0
2013-11-06,510.0
2013-11-13,190.0
2013-11-20,1800.0
2013-11-27,1200.0
2013-12-04,180.0
2013-12-11,230.0
2013-12-18,120.0
2013-12-20,580.0
2013-12-27,740.0
2014-01-03,110.0
2014-01-08,150.0
2014-01-15,190.0
2014-01-22,840.0
2014-01-29,340.0
2014-02-04,190.0
2014-02-12,140.0
2014-02-19,62.0
2014-02-26,20.0
2014-03-05,100.0
2014-03-12,380.0
2014-03-19,170.0
2014-03-26,68.0
2014-04-02,260.0
2014-04-09,200.0
2014-04-15,430.0
2014-04-22,350.0
2014-04-30,2400.0
2014-11-05,490.0
2014-11-12,640.0
2014-11-19,450.0
2014-11-26,490.0
2014-12-03,240.0
2014-12-10,360.0
2014-12-17,3300.0
2014-12-22,830.0
2014-12-29,400.0
2015-01-07,490.0
2015-01-14,630.0
2015-01-21,60.0
2015-01-28,170.0
2015-02-03,490.0
2015-02-11,7900.0
2015-02-18,
2015-02-25,150.0
2015-03-04,92.0
2015-03-11,6900.0
2015-03-18,940.0
2015-03-25,240.0
2015-03-31,220.0
2015-04-08,320.0
2015-04-15,3900.0
2015-04-22,670.0
2015-04-29,3100.0
2015-11-04,1800.0
2015-11-11,520.0
2015-11-18,1500.0
2015-12-02,410.0
2015-12-09,230.0
2015-12-16,340.0
2015-12-22,190.0
2015-12-29,470.0
2016-01-06,430.0
2016-01-13,190.0
2016-01-20,620.0
2016-01-27,130.0
2016-02-03,44.0
2016-02-10,480.0
2016-02-17,54.0
2016-02-24,150.0
2016-03-02,58.0
2016-03-09,2900.0
2016-03-16,6200.0
2016-03-22,2700.0
2016-03-30,180.0
2016-04-06,220.0
2016-04-13,240.0
2016-04-20,280.0
2016-04-27,220.0
2016-11-02,770.0
2016-11-09,4500.0
2016-11-16,430.0
2016-11-23,270.0
2016-11-29,430.0
2016-12-05,420.0
2016-12-14,520.0
2016-12-21,150.0
2016-12-29,250.0
2017-01-05,2200.0
2017-01-11,1500.0
2017-01-18,95.0
2017-01-26,150.0
2017-02-01,170.0
2017-02-09,310.0
2017-02-15,93.0
2017-02-22,460.0
2017-03-01,280.0
2017-03-08,5200.0
2017-03-15,690.0
2017-03-22,640.0
2017-03-29,2600.0
2017-04-20,390.0
2017-04-26,280.0
2017-11-07,537.0
2017-11-13,399.0
2017-11-19,906.0
2017-11-28,369.0
2017-12-04,52.0
2017-12-10,341.0
2017-12-19,1610.0
2017-12-28,512.0
2018-01-04,708.0
2018-01-09,663.0
2018-01-15,733.0
2018-01-21,1310.0
2018-01-30,2480.0
2018-02-05,211.0
2018-02-11,813.0
2018-02-20,2910.0
2018-02-26,10.0
2018-03-04,1100.0
2018-03-13,882.0
2018-03-19,703.0
2018-03-25,1250.0
2018-04-03,1350.0
2018-04-09,1160.0
2018-04-17,784.0
2018-04-24,448.0
2018-11-12,228.0
2018-11-18,536.0
2018-11-26,1860.0
2018-12-03,1354.0
2018-12-11,536.0
2018-12-16,364.0
2018-12-24,638.0
2018-12-30,327.0
2019-01-07,591.0
2019-01-13,457.0
2019-01-22,657.0
2019-01-27,98.0
2019-02-04,1317.0
2019-02-10,364.0
2019-02-18,41.0
2019-02-24,481.0
2019-03-04,374.0
2019-03-10,703.0
2019-03-19,487.0
2019-03-24,475.0
2019-04-01,677.0
2019-04-07,318.0
2019-04-15,275.0
2019-04-21,397.0
2019-04-30,1086.0
2019-11-04,529.0
2019-11-10,882.0
2019-11-18,13000.0
2019-11-24,393.0
2019-12-02,364.0
2019-12-08,4880.0
2019-12-16,473.0
2019-12-22,404.0
2019-12-30,738.0
2020-01-05,605.0
2020-01-13,393.0
2020-01-19,96.0
2020-01-27,292.0
2020-02-02,355.0
2020-02-10,776.0
2020-02-16,368.0
2020-02-24,538.0
2020-03-01,689.0
2020-03-09,1354.0
2020-03-15,836.0
2020-03-23,602.0
2020-11-02,682.0
2020-11-08,839.0
2020-11-16,85.0
2020-11-22,571.0
2020-11-30,323.0
2020-12-06,573.0
2020-12-14,364.0
2020-12-20,10.0
2020-12-28,450.0
2021-01-03,1100.0
2021-01-11,933.0
2021-01-17,586.0
2021-01-26,637.0
2021-01-31,487.0
2021-02-09,275.0
2021-02-14,269.0
2021-02-22,733.0
2021-03-01,906.0
2021-03-08,657.0
2021-03-14,479.0
2021-03-28,473.0
2021-04-05,670.0
2021-04-11,512.0
2021-04-19,1119.0
2021-04-26,285.0
2021-11-01,836.0
2021-11-08,504.0
2021-11-15,11200.0
2021-11-22,1396.0
2021-11-29,345.0
2021-12-06,591.0
2021-12-13,4350.0
2021-12-20,1396.0
2021-12-27,399.0
2022-01-03,2142.0
2022-01-10,323.0
2022-01-17,391.0
2022-01-24,1296.0
2022-01-31,676.0
2022-02-07,8660.0
2022-02-14,4610.0
2022-02-21,1162.0
2022-02-28,816.0
2022-03-07,886.0
2022-03-14,441.0
2022-03-21,1145.0
2022-03-28,1354.0
2022-04-04,195.0
2022-04-11,771.0
2022-04-19,480.0
2022-04-27,521.0
2022-11-01,1043.0
2022-11-07,663.0
2022-11-14,571.0
2022-11-21,862.0
2022-11-28,2282.0
2022-12-05,959.0
2022-12-12,1597.0
2022-12-19,1785.0
2022-12-26,1439.0
2023-01-02,886.0
2023-01-09,1153.0
2023-01-16,583.0
2023-01-24,882.0
2023-01-30,2480.0
2023-02-07,1376.0
2023-02-13,820.0
2023-02-20,1067.0
2023-02-27,1421.0
2023-03-06,1236.0
2023-03-13,1017.0
2023-03-20,1421.0
2023-03-27,789.0
2023-04-03,776.0
2023-04-11,676.0
2023-04-17,631.0
2023-04-24,987.0
2023-11-06,703.0
2023-11-13,345.0
2023-11-20,31.0
2023-11-27,657.0
2023-12-04,1726.0
2023-12-11,402.0
2023-12-18,776.0
2023-12-27,908.0
2024-01-03,1162.0
2024-01-08,1935.0
2024-01-15,2014.0
2024-01-23,538.0
2024-01-29,527.0
2024-02-05,888.0
2024-02-12,640.0
2024-02-19,598.0
2024-02-26,2187.0
2024-03-04,842.0
2024-03-11,6870.0
2024-03-18,712.0
2024-03-25,345.0
2024-04-02,288.0
2024-04-08,379.0
2024-04-15,464.0
2024-04-22,399.0
2024-11-04,5475.0
2024-11-11,598.0
2024-11-18,657.0
2024-11-25,504.0
2024-12-02,
2024-12-09,1234.0
2024-12-16,5172.0
2024-12-23,908.0
2024-12-30,598.0
2025-01-06,990.0
2025-01-13,836.0
2025-01-21,354.0
2025-01-27,1725.0
2025-02-03,857.0
2025-02-10,309.0
2025-02-17,249.0
2025-02-24,556.0
2025-03-03,1106.0
2025-03-10,605.0
2025-03-17,1483.0
2025-03-24,1153.0
2025-04-01,8164.0
2025-04-07,886.0
2025-04-14,332.0
2025-04-22,417.0
2025-04-28,496.0
2025-11-03,384.0
2025-11-10,364.0
2025-11-17,602.0
2025-11-24,1723.0
2025-12-01,1246.0
2025-12-08,708.0
2025-12-15,598.0
2025-12-22,259.0
2025-12-29,315.0
2026-01-07,364.0
2026-01-12,689.0
2026-01-20,187.0
2026-01-26,934.0
2026-02-02,613.0
2026-02-09,11200.0
2026-02-17,19900.0
2026-02-23,1314.0
2026-03-02,3260.0
2026-03-10,1106.0
2026-03-16,605.0
2026-03-23,650.0
2026-03-30,3450.0
2026-04-07,435.0
2026-04-13,9800.0
2026-04-20,1333.0
2026-04-28,345.0
